suburb,address,sale_price,sale_date,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,building_size_sqm,year_built,distance_to_cbd_km,distance_to_train_km,distance_to_beach_km,school_zone,strata_or_council_notes,agent_description,listing_url
Newtown,"95 Station Street, Newtown NSW 2042",1842000,2026-09-13,House,2,1,1,166.7,,,4,0.3,8.0,,,,
Newtown,"21 Sloane Street, Newtown NSW 2042",2000000,2026-09-11,House,4,3,0,151.9,,,4,0.3,8.0,,,,
Newtown,"9/63-69 Lord Street, Newtown NSW 2042",820000,2026-09-07,Unit,2,1,1,79.0,,,4,0.3,8.0,,,,
Newtown,"11/94 Alice Street, Newtown NSW 2042",510000,2026-09-04,Studio,0,1,1,51.0,,,4,0.3,8.0,,,,
Newtown,"217/88 King Street, Newtown NSW 2042",430000,2026-09-04,Studio,0,1,1,,,,4,0.3,8.0,,,,
Newtown,"31/55 King Street, Newtown NSW 2042",1225000,2026-09-03,Unit,2,2,1,104.0,,,4,0.3,8.0,,,,
Newtown,"10/2-6 Brown Street, Newtown NSW 2042",920000,2026-08-31,Unit,2,1,1,73.0,,,4,0.3,8.0,,,,
Newtown,"G03/10 Fitzgerald Street, Newtown NSW 2042",1180000,2026-08-07,Unit,2,2,1,,,,4,0.3,8.0,,,,
Newtown,"6/134-146 Enmore Road, Newtown NSW 2042",1100000,2026-08-06,Unit,2,2,1,106.0,,,4,0.3,8.0,,,,
Newtown,"402/32 Alice Street, Newtown NSW 2042",1060000,2026-07-31,Unit,2,2,1,114.0,,,4,0.3,8.0,,,,
Newtown,"7/1 Gladstone Street, Newtown",770000,2026-07-25,Unit,1,1,0,58.0,,,4,0.3,8.0,,,,
Newtown,"411/88 King Street, Newtown",558000,2026-07-22,Studio,0,1,1,60.0,,,4,0.3,8.0,,,,
Newtown,"204/63 Enmore Road, Newtown",820000,2026-07-17,Unit,1,1,1,,,,4,0.3,8.0,,,,
Newtown,"58/546-562 King Street, Newtown",790000,2026-07-17,Unit,1,1,1,65.0,,,4,0.3,8.0,,,,
Newtown,"121/88 King Street, Newtown",402500,2026-07-15,Studio,1,1,0,,,,4,0.3,8.0,,,,
